Country,Subnational region,Module,Indicator,Configuration,2015
AFRE,,Demographic Projection (DemProj),Defined age group,age 0; Total Region; Male+Female,11121981
AFRE,,Demographic Projection (DemProj),Defined age group,age 1; Total Region; Male+Female,10665636
AFRE,,Demographic Projection (DemProj),Defined age group,age 2; Total Region; Male+Female,10348769
AFRE,,Demographic Projection (DemProj),Defined age group,age 3; Total Region; Male+Female,10093246
AFRE,,Demographic Projection (DemProj),Defined age group,age 4; Total Region; Male+Female,9833911
AFRE,,Demographic Projection (DemProj),Defined age group,age 5; Total Region; Male+Female,9583359
AFRE,,Demographic Projection (DemProj),Defined age group,age 6; Total Region; Male+Female,9340053
AFRE,,Demographic Projection (DemProj),Defined age group,age 7; Total Region; Male+Female,9089411
AFRE,,Demographic Projection (DemProj),Defined age group,age 8; Total Region; Male+Female,8853670
AFRE,,Demographic Projection (DemProj),Defined age group,age 9; Total Region; Male+Female,8628208
AFRE,,Demographic Projection (DemProj),Defined age group,age 10; Total Region; Male+Female,8398104
AFRE,,Demographic Projection (DemProj),Defined age group,age 11; Total Region; Male+Female,8162616
AFRE,,Demographic Projection (DemProj),Defined age group,age 12; Total Region; Male+Female,7932095
AFRE,,Demographic Projection (DemProj),Defined age group,age 13; Total Region; Male+Female,7710083
AFRE,,Demographic Projection (DemProj),Defined age group,age 14; Total Region; Male+Female,7498631
AFRE,,Demographic Projection (DemProj),Defined age group,age 15; Total Region; Male+Female,7290205
AFRE,,Demographic Projection (DemProj),Defined age group,age 16; Total Region; Male+Female,7057755
AFRE,,Demographic Projection (DemProj),Defined age group,age 17; Total Region; Male+Female,6840299
AFRE,,Demographic Projection (DemProj),Defined age group,age 18; Total Region; Male+Female,6632939
AFRE,,Demographic Projection (DemProj),Defined age group,age 19; Total Region; Male+Female,6425271
AFRE,,Demographic Projection (DemProj),Defined age group,age 20; Total Region; Male+Female,6218675
AFRE,,Demographic Projection (DemProj),Defined age group,age 21; Total Region; Male+Female,6012146
AFRE,,Demographic Projection (DemProj),Defined age group,age 22; Total Region; Male+Female,5815432
AFRE,,Demographic Projection (DemProj),Defined age group,age 23; Total Region; Male+Female,5637479
AFRE,,Demographic Projection (DemProj),Defined age group,age 24; Total Region; Male+Female,5478690
AFRE,,Demographic Projection (DemProj),Defined age group,age 25; Total Region; Male+Female,5332371
